Learning component,Active learning,Social learning
Attention and memory ,"Engages attention, coordinates attention to the learning moment, and enhances uncertainty monitoring",Increases arousal and enhances attention/memory processes
Quality of the input,"Generates high quality input that is linked to prior knowledge,  hypotheses, and ability",Generates high quality input shaped to the learner's current cognitive abilities and goals
Inferences and generalization ,"Behaviors selected without knowledge of the target concept, leading to weaker inferences and generalization","Behaviors selected with knowledge of the target concept, leading to stronger inferences and generalization"
